==== e2e6m S1 layout search ====
D = 6.00 m | lambda = 500 nm | f/# band [12 20] | shroud <= 8.0 m
apertures OFF (design doctrine + realize_apertures frame defect)

stage 1: 216 geometries at tilt [-7.20 8.46 12.00]
        R1     T1     T2     R2     R3 |   tilt1   tilt2  tilt3 |     EFL     f/# shroud  train   AOI
    38.400  13.00  19.00  6.400  2.600 |   -7.20    8.46  12.00 |     NaN     NaN    NaN    NaN   NaN  x rays lost
    44.000  13.00  19.00  6.400  2.600 |   -7.20    8.46  12.00 |     NaN     NaN    NaN    NaN   NaN  x rays lost
    38.400  15.00  19.00  6.400  2.600 |   -7.20    8.46  12.00 |    0.29    0.05 12.198  20.53  51.2  x fno shroud OBSC
    44.000  15.00  19.00  6.400  2.600 |   -7.20    8.46  12.00 |     NaN     NaN    NaN    NaN   NaN  x rays lost
    38.400  17.00  19.00  6.400  2.600 |   -7.20    8.46  12.00 |   11.00    1.83 12.144  19.10  30.0  x fno shroud OBSC
    44.000  17.00  19.00  6.400  2.600 |   -7.20    8.46  12.00 |     NaN     NaN    NaN    NaN   NaN  x rays lost
    38.400  13.00  22.00  6.400  2.600 |   -7.20    8.46  12.00 |     NaN     NaN    NaN    NaN   NaN  x rays lost
    44.000  13.00  22.00  6.400  2.600 |   -7.20    8.46  12.00 |     NaN     NaN    NaN    NaN   NaN  x rays lost
    38.400  15.00  22.00  6.400  2.600 |   -7.20    8.46  12.00 |     NaN     NaN    NaN    NaN   NaN  x rays lost
    44.000  15.00  22.00  6.400  2.600 |   -7.20    8.46  12.00 |     NaN     NaN    NaN    NaN   NaN  x rays lost
    38.400  17.00  22.00  6.400  2.600 |   -7.20    8.46  12.00 |    9.73    1.62 12.791  22.10  38.7  x fno shroud OBSC
    44.000  17.00  22.00  6.400  2.600 |   -7.20    8.46  12.00 |     NaN     NaN    NaN    NaN   NaN  x rays lost
    38.400  13.00  13.00  7.200  2.600 |   -7.20    8.46  12.00 |     NaN     NaN    NaN    NaN   NaN  x rays lost
    44.000  13.00  13.00  7.200  2.600 |   -7.20    8.46  12.00 |     NaN     NaN    NaN    NaN   NaN  x rays lost
    38.400  15.00  13.00  7.200  2.600 |   -7.20    8.46  12.00 |    2.19    0.36 10.587  14.87  34.8  x fno shroud OBSC
    44.000  15.00  13.00  7.200  2.600 |   -7.20    8.46  12.00 |     NaN     NaN    NaN    NaN   NaN  x rays lost
    38.400  17.00  13.00  7.200  2.600 |   -7.20    8.46  12.00 |   13.18    2.20 11.063  16.76  18.7  x fno shroud
    44.000  17.00  13.00  7.200  2.600 |   -7.20    8.46  12.00 |    0.86    0.14 12.226  16.83  43.1  x fno shroud OBSC
    38.400  13.00  16.00  7.200  2.600 |   -7.20    8.46  12.00 |     NaN     NaN    NaN    NaN   NaN  x rays lost
    44.000  13.00  16.00  7.200  2.600 |   -7.20    8.46  12.00 |     NaN     NaN    NaN    NaN   NaN  x rays lost
